Distanzen Basel Berlin Frankfurt Hamburg Hannover Kassel Koeln Muenchen Nuernberg Stuttgart
Basel 0 687 294 681 556 438 377 300 332 178
Berlin 687 0 422 256 249 300 477 503 375 511
Frankfurt 294 422 0 393 262 193 152 304 187 153
Hamburg 681 256 393 0 132 251 356 612 462 534
Hannover 556 249 262 132 0 118 249 488 338 402
Kassel 438 300 193 251 118 0 182 383 236 283
Koeln 377 477 152 356 249 182 0 456 336 288
Muenchen 300 503 304 612 488 383 456 0 150 190
Nuernberg 332 375 187 462 338 236 336 150 0 157
Stuttgart 178 511 153 534 402 283 288 190 157 0
